iter	Passed	Remaining
475	41319	45485
476	41392	45384
477	41476	45294
478	41563	45207
479	41638	45108
480	41731	45028
481	41811	44934
482	41890	44839
483	41966	44741
484	42041	44642
485	42133	44560
486	42201	44455
487	42275	44355
488	42355	44260
489	42433	44165
490	42513	44071
491	42597	43982
492	42673	43884
493	42747	43785
494	42824	43689
495	42912	43604
496	43008	43527
497	43094	43440
498	43219	43392
499	43300	43300
500	43377	43204
501	43454	43108
502	43541	43022
503	43628	42935
504	43704	42838
505	43793	42755
506	43866	42654
507	43939	42555
508	44023	42466
509	44099	42370
510	44188	42286
511	44266	42191
512	44358	42110
513	44444	42023
514	44526	41932
515	44625	41857
516	44719	41778
517	44797	41683
518	44871	41586
519	44951	41493
520	45028	41398
521	45102	41301
522	45174	41200
523	45262	41116
524	45329	41012
525	45409	40920
526	45487	40826
527	45584	40750
528	45661	40654
529	45740	40562
530	45818	40468
531	45905	40383
532	45983	40289
533	46067	40200
534	46155	40116
535	46237	40026
536	46306	39924
537	46404	39848
538	46493	39765
539	46596	39693
540	46689	39612
541	46766	39518
542	46847	39427
543	46941	39347
544	47042	39273
545	47120	39180
546	47195	39085
547	47271	38990
548	47358	38904
549	47433	38809
550	47513	38718
551	47595	38628
552	47669	38532
553	47747	38439
554	47822	38344
555	47903	38253
556	47971	38153
557	48049	38060
558	48130	37970
559	48212	37881
560	48299	37795
561	48379	37705
562	48476	37627
563	48564	37543
564	48694	37490
565	48839	37449
566	48920	37359
567	49004	37271
568	49099	37191
569	49187	37106
570	49272	37019
571	49347	36924
572	49425	36831
573	49512	36746
574	49595	36657
575	49676	36567
576	49763	36481
577	49843	36391
578	49937	36310
579	50022	36222
580	50098	36129
581	50173	36035
582	50249	35941
583	50334	35854
584	50410	35761
585	50505	35681
586	50592	35595
587	50681	35511
588	50754	35415
589	50828	35321
590	50906	35229
591	50998	35147
592	51081	35059
593	51151	34962
594	51242	34879
595	51322	34789
596	51410	34704
597	51495	34617
598	51583	34532
599	51666	34444
600	51739	34349
601	51809	34252
602	51890	34163
603	51969	34072
604	52051	33984
605	52142	33900
606	52231	33816
607	52314	33729
608	52411	33650
609	52491	33559
610	52570	33469
611	52651	33380
612	52730	33290
613	52817	33204
614	52889	33109
615	52976	33024
616	53061	32937
617	53141	32847
618	53216	32755
619	53291	32662
620	53373	32574
621	53455	32485
622	53531	32394
623	53605	32300
624	53690	32214
625	53768	32123
626	53840	32029
627	53912	31935
628	54010	31857
629	54100	31773
630	54177	31682
631	54259	31593
632	54342	31506
633	54418	31415
634	54523	31340
635	54607	31253
636	54686	31163
637	54771	31077
638	54841	30982
639	54921	30893
640	55003	30805
641	55089	30719
642	55185	30639
643	55264	30550
644	55332	30454
645	55421	30370
646	55500	30280
647	55577	30190
648	55664	30105
649	55746	30017
650	55824	29927
651	55900	29836
652	55980	29747
653	56065	29661
654	56144	29572
655	56231	29487
656	56310	29398
657	56384	29306
658	56482	29227
659	56559	29136
660	56671	29064
661	56809	29005
662	56938	28941
663	57066	28877
664	57178	28804
665	57292	28732
666	57398	28656
667	57510	28583
668	57748	28572
669	57852	28494
670	57946	28411
671	58049	28333
672	58153	28256
673	58262	28180
674	58344	28091
675	58429	28004
676	58518	27919
677	58604	27832
678	58688	27745
679	58774	27658
680	58855	27569
681	58933	27479
682	59021	27393
683	59117	27311
684	59213	27229
685	59314	27149
686	59392	27059
687	59477	26972
688	59559	26884
689	59638	26794
690	59715	26703
691	59799	26616
692	59907	26538
693	59989	26450
694	60077	26365
695	60151	26273
696	60231	26183
697	60332	26103
698	60412	26014
699	60504	25930
700	60587	25842
701	60665	25752
702	60750	25665
703	60833	25577
704	60908	25486
705	60982	25395
706	61076	25311
707	61148	25219
708	61230	25131
709	61331	25050
710	61405	24959
711	61482	24869
712	61571	24784
713	61646	24693
714	61729	24605
715	61803	24514
716	61883	24425
717	61966	24337
718	62040	24246
719	62124	24159
720	62206	24071
721	62279	23980
722	62354	23889
723	62444	23804
724	62517	23713
725	62598	23625
726	62681	23537
727	62757	23447
728	62841	23360
729	62923	23272
730	62997	23182
731	63082	23095
732	63163	23007
733	63245	22920
734	63329	22833
735	63424	22750
736	63507	22662
737	63589	22575
738	63670	22487
739	63747	22397
740	63829	22310
741	63923	22226
742	64005	22139
743	64084	22050
744	64161	21961
745	64246	21874
746	64330	21787
747	64405	21698
748	64505	21616
749	64591	21530
750	64677	21444
751	64748	21353
752	64832	21266
753	64904	21175
754	65001	21093
755	65076	21003
756	65162	20917
757	65233	20826
758	65315	20739
759	65401	20653
760	65475	20563
761	65558	20476
762	65653	20392
763	65745	20308
764	65833	20223
765	65905	20133
766	65992	20047
767	66073	19959
768	66140	19867
769	66224	19781
770	66305	19693
771	66383	19605
772	66466	19518
773	66553	19433
774	66636	19346
775	66715	19257
776	66795	19170
777	66879	19083
778	66966	18998
779	67139	18936
780	67225	18850
781	67304	18762
782	67383	18674
783	67475	18590
784	67556	18502
785	67637	18415
786	67726	18330
787	67799	18240
788	67872	18151
789	67962	18066
790	68046	17979
791	68118	17889
792	68202	17803
793	68284	17716
794	68351	17625
795	68435	17538
796	68523	17453
797	68633	17373
798	68751	17295
799	68855	17213
800	68951	17130
801	69037	17044
802	69140	16962
803	69256	16883
804	69363	16802
805	69475	16722
806	69567	16637
807	69676	16556
808	69787	16476
809	69889	16393
810	69987	16310
811	70059	16220
812	70127	16130
813	70222	16045
814	70298	15957
815	70385	15871
816	70468	15784
817	70538	15694
818	70622	15607
819	70710	15521
820	70792	15434
821	70881	15349
822	70968	15262
823	71044	15174
824	71133	15088
825	71234	15005
826	71304	14916
827	71381	14828
828	71467	14741
829	71545	14653
830	71644	14570
831	71727	14483
832	71808	14396
833	71897	14310
834	71980	14223
835	72074	14139
836	72197	14059
837	72286	13974
838	72365	13886
839	72442	13798
840	72525	13711
841	72611	13625
842	72693	13538
843	72777	13451
844	72858	13364
845	72941	13277
846	73024	13190
847	73106	13103
848	73182	13015
849	73272	12930
850	73347	12842
851	73432	12755
852	73513	12668
853	73591	12581
854	73686	12496
855	73768	12409
856	73849	12322
857	73930	12235
858	74010	12148
859	74099	12062
860	74182	11975
861	74260	11888
862	74346	11802
863	74418	11714
864	74515	11629
865	74602	11543
866	74693	11458
867	74779	11372
868	74855	11284
869	74931	11196
870	75013	11109
871	75096	11023
872	75176	10936
873	75254	10849
874	75332	10761
875	75406	10674
876	75481	10586
877	75563	10499
878	75644	10412
879	75726	10326
880	75805	10239
881	75876	10151
882	75961	10065
883	76047	9979
884	76126	9892
885	76206	9805
886	76281	9717
887	76362	9631
888	76443	9544
889	76636	9471
890	76703	9383
891	76786	9297
892	76857	9209
893	76943	9123
894	77029	9036
895	77113	8950
896	77193	8863
897	77269	8776
898	77354	8690
899	77436	8604
900	77520	8517
901	77599	8430
902	77684	8344
903	77761	8257
904	77843	8171
905	77927	8085
906	78009	7998
907	78102	7913
908	78183	7826
909	78305	7744
910	78394	7658
911	78476	7572
912	78566	7486
913	78635	7399
914	78724	7313
915	78806	7226
916	78889	7140
917	78974	7054
918	79049	6967
919	79136	6881
920	79232	6796
921	79308	6709
922	79404	6624
923	79477	6537
924	79546	6449
925	79638	6364
926	79712	6277
927	79804	6191
928	79892	6105
929	79968	6019
930	80050	5932
931	80122	5845
932	80198	5759
933	80297	5674
934	80372	5587
935	80457	5501
936	80532	5414
937	80620	5328
938	80703	5242
939	80781	5156
940	80870	5070
941	80956	4984
942	81059	4899
943	81140	4813
944	81217	4726
945	81295	4640
946	81375	4554
947	81460	4468
948	81541	4382
949	81636	4296
950	81718	4210
951	81810	4124
952	81907	4039
953	81986	3953
954	82063	3866
955	82140	3780
956	82228	3694
957	82304	3608
958	82383	3522
959	82464	3436
960	82550	3350
961	82638	3264
962	82711	3177
963	82783	3091
964	82885	3006
965	82982	2920
966	83081	2835
967	83152	2748
968	83235	2662
969	83328	2577
970	83406	2491
971	83490	2405
972	83583	2319
973	83669	2233
974	83744	2147
975	83819	2061
976	83911	1975
977	83995	1889
978	84080	1803
979	84160	1717
980	84243	1631
981	84333	1545
982	84408	1459
983	84484	1373
984	84567	1287
985	84647	1201
986	84730	1116
987	84802	1029
988	84881	944
989	84971	858
990	85057	772
991	85265	687
992	85343	601
993	85432	515
994	85506	429
995	85598	343
996	85673	257
997	85767	171
998	85850	85
999	85928	0
