iter	Logloss
0	0.6791276013
1	0.6660970701
2	0.6557765448
3	0.6480736435
4	0.6417921364
5	0.6353559967
6	0.6306476367
7	0.6263389202
8	0.6223718035
9	0.6189547719
10	0.6161294513
11	0.6134015164
12	0.6109824881
13	0.6092375361
14	0.6074111172
15	0.6057220481
16	0.6041640925
17	0.6028481555
18	0.6017631586
19	0.6005734463
20	0.5992261814
21	0.59832348
22	0.5973139513
23	0.596450415
24	0.5954508922
25	0.5945394182
26	0.593715922
27	0.5929574963
28	0.5921803821
29	0.5913101058
30	0.5906175479
31	0.5901585657
32	0.5895415742
33	0.5888725661
34	0.5883076792
35	0.5876065988
36	0.5870825212
37	0.5866298244
38	0.5861093284
39	0.585599335
40	0.5850525107
41	0.5845703622
42	0.5840692677
43	0.583541563
44	0.5830488726
45	0.5825162702
46	0.5820752613
47	0.5816663004
48	0.5811583982
49	0.5808202983
50	0.5803930442
51	0.5800867461
52	0.5797461483
53	0.5793589383
54	0.5790196151
55	0.5785565741
56	0.5782426441
57	0.577955837
58	0.5776438458
59	0.5773469427
60	0.5771073529
61	0.5768456262
62	0.5764891778
63	0.5762141394
64	0.5759190456
65	0.5756672819
66	0.5754109963
67	0.5751425238
68	0.5748591383
69	0.5745924732
70	0.5743890025
71	0.5741501979
72	0.5738070918
73	0.573541701
74	0.5732835239
75	0.5729599525
76	0.5727202168
77	0.5724310879
78	0.5721606628
79	0.5719054646
80	0.5717030921
81	0.5714726426
82	0.5712949776
83	0.5711035549
84	0.5708510082
85	0.5706807184
86	0.570480013
87	0.5702338087
88	0.5700046382
89	0.5697649161
90	0.5695558775
91	0.5693409602
92	0.5692630269
93	0.5689668436
94	0.5687607318
95	0.568513146
96	0.5683254213
97	0.5681505979
98	0.5679014046
99	0.5676602467
100	0.5674957927
101	0.5672624818
102	0.5670067982
103	0.5667610648
104	0.5665436577
105	0.566384087
106	0.5662481939
107	0.5660403502
108	0.5658280951
109	0.5656224403
110	0.5654390487
111	0.5652314432
112	0.5650305384
113	0.5647276776
114	0.5643540791
115	0.5640532116
116	0.5638762893
117	0.5637008043
118	0.5634810498
119	0.5632378136
120	0.5629946776
121	0.5627755646
122	0.5625360297
123	0.5622751799
124	0.5620259671
125	0.5617245094
126	0.5615113688
127	0.561246396
128	0.5610323422
129	0.5606992631
130	0.5604684674
131	0.5602488219
132	0.5600033623
133	0.5597674613
134	0.5595386557
135	0.5592871584
136	0.5590248819
137	0.5587449921
138	0.558532404
139	0.5583411266
140	0.5581395318
141	0.5578625883
142	0.5576103392
143	0.5573654297
144	0.5571138882
145	0.5567952746
146	0.5565475339
147	0.5563472626
148	0.556095598
149	0.5558797513
150	0.5556541074
151	0.555417119
152	0.5551757155
153	0.5548716699
154	0.5546303968
155	0.5543875399
156	0.5541092878
157	0.5538504205
158	0.5535786311
159	0.5533103124
160	0.553056368
161	0.5528520606
162	0.5526140425
163	0.5523701058
164	0.5521599539
165	0.5519681772
166	0.5517590358
167	0.5515138381
168	0.5513093034
169	0.5510726899
170	0.5508313035
171	0.5505524038
172	0.5503747946
173	0.5501394142
174	0.5499143285
175	0.5496964359
176	0.5494492478
177	0.5491869614
178	0.5489429378
179	0.5487204986
180	0.5485445963
181	0.5482913257
182	0.5481004913
183	0.5478878337
184	0.5476513373
185	0.5474034281
186	0.5471892469
187	0.5469540329
188	0.5466630892
189	0.5463821148
190	0.546208222
191	0.5459543828
192	0.5457167441
193	0.5455299225
194	0.5453369534
195	0.5451189039
196	0.5448574272
197	0.5446247243
198	0.5443745641
199	0.544161385
200	0.543944458
201	0.5436640819
202	0.5434790196
203	0.543298674
204	0.5430083051
205	0.5428075277
206	0.5425957685
207	0.5424104422
208	0.5422012182
209	0.5419678465
210	0.5417475463
211	0.5415537655
212	0.5413181606
213	0.5410792776
214	0.5408274394
215	0.5406377598
216	0.540465496
217	0.5402434405
218	0.540028894
219	0.5398392383
220	0.5396320758
221	0.5394338306
222	0.5392238824
223	0.5390061296
224	0.5387669403
225	0.5385919451
226	0.5383746389
227	0.5381939025
228	0.5379874641
229	0.5376844836
230	0.5374393493
231	0.5372542947
232	0.5370584788
233	0.5369250401
234	0.5367058501
235	0.5365701248
236	0.5363433943
237	0.5361535852
238	0.5359501489
239	0.5357631946
240	0.5355987811
241	0.535393469
242	0.5351486292
243	0.5348918224
244	0.5347425333
245	0.5345712234
246	0.5343445327
247	0.5341481188
248	0.5339295892
249	0.5337145968
250	0.5335102702
251	0.5333620035
252	0.5331758205
253	0.5329439169
254	0.5327193978
255	0.5325271467
256	0.532347102
257	0.5321311958
258	0.5318604034
259	0.5316521162
260	0.5314870618
261	0.5313174758
262	0.531194307
263	0.5310401173
264	0.5308445141
265	0.5306207674
266	0.5304214877
267	0.5302311529
268	0.5300415077
269	0.5298421313
270	0.5296331553
271	0.5293905561
272	0.5291710975
273	0.5289386857
274	0.5287535626
275	0.5285363232
276	0.5282943911
277	0.5280824276
278	0.5278940075
279	0.5277225815
280	0.5275430231
281	0.5273467433
282	0.5271453334
283	0.5269412527
284	0.5267549187
285	0.526548217
286	0.5263609646
287	0.5261465622
288	0.5259534203
289	0.5257478941
290	0.5255601236
291	0.5253309832
292	0.5251502332
293	0.5249358843
294	0.524741397
295	0.5245445349
296	0.5243800575
297	0.5242478498
298	0.5241012509
299	0.5238939471
300	0.5237004552
301	0.5235060759
302	0.5232915678
303	0.5231148979
304	0.5229259299
305	0.5227322244
306	0.5225720131
307	0.5224500171
308	0.5222553662
309	0.5220775636
310	0.5219033668
311	0.521734859
312	0.5215417834
313	0.5213892781
314	0.5211798958
315	0.5209186487
316	0.5206990537
317	0.5205447592
318	0.5203568345
319	0.5201154937
320	0.519931591
321	0.5197966217
322	0.5196358417
323	0.5194809738
324	0.5192834687
325	0.5191250476
326	0.5189214382
327	0.5187768431
328	0.5185696349
329	0.5183567368
330	0.5181748717
331	0.5180241592
332	0.517831163
333	0.5176563422
334	0.5174526064
335	0.5172634796
336	0.517040908
337	0.5168854394
338	0.5167208886
339	0.5165345608
340	0.5163200855
341	0.5161699019
342	0.5159872708
343	0.5157659477
344	0.5155976949
345	0.5154144111
346	0.5152452802
347	0.5151039609
348	0.5149586651
349	0.5147928046
350	0.5146280023
351	0.5144394713
352	0.5142497053
353	0.5141222462
354	0.5139463612
355	0.5137779351
356	0.5135962849
357	0.5134147331
358	0.5132223043
359	0.513057791
