INCOME_TYPE_GROUP,accuracy,recall,selection_rate,false_negative_rate,macro_demographic_parity_diff,macro_equalized_odds_diff
Businessman,1.0,0.0,0.0,0.0,0.47058823529411764,1.0
Commercial_associate,0.7244775024880834,0.7249310027598896,0.3096747158346865,0.2750689972401104,0.47058823529411764,1.0
Maternity_leave,1.0,0.0,0.0,0.0,0.47058823529411764,1.0
Pensioner,0.8251008292926089,0.546723044397463,0.17990664793583178,0.453276955602537,0.47058823529411764,1.0
State_servant,0.779826464208243,0.6708984375,0.2401529855006279,0.3291015625,0.47058823529411764,1.0
Student,0.7272727272727273,0.0,0.2727272727272727,0.0,0.47058823529411764,1.0
Unemployed,0.8235294117647058,1.0,0.47058823529411764,0.0,0.47058823529411764,1.0
Working,0.6599104240296593,0.8064862188479948,0.3985579685618255,0.1935137811520053,0.47058823529411764,1.0
