HOUSING_TYPE_GROUP,accuracy,recall,selection_rate,false_negative_rate,macro_demographic_parity_diff,macro_equalized_odds_diff
Co_op_apartment,0.7210884353741497,0.717948717948718,0.31746031746031744,0.28205128205128205,0.2090834703114744,0.20238401801297062
House___apartment,0.7239391344564367,0.740246768507638,0.3135088353946965,0.2597532314923619,0.2090834703114744,0.20238401801297062
Municipal_apartment,0.7191565724540152,0.7295514511873351,0.31987438313144906,0.2704485488126649,0.2090834703114744,0.20238401801297062
Office_apartment,0.6847877920839294,0.7279411764705882,0.3447782546494993,0.27205882352941174,0.2090834703114744,0.20238401801297062
Rented_apartment,0.5579654014975471,0.8263598326359832,0.5225923057061709,0.17364016736401675,0.2090834703114744,0.20238401801297062
With_parents,0.5649827106350679,0.8690647482014389,0.5215484523909927,0.13093525179856116,0.2090834703114744,0.20238401801297062
