FAMILY_STATUS_GROUP,accuracy,recall,selection_rate,false_negative_rate,macro_demographic_parity_diff,macro_equalized_odds_diff
Civil_marriage,0.6528641021333781,0.8134171907756813,0.4099193683856879,0.18658280922431866,0.4134602161775626,0.8134171907756813
Married,0.7293211074557915,0.7367398648648649,0.3063511355176166,0.26326013513513513,0.4134602161775626,0.8134171907756813
Separated,0.7245580808080808,0.7272727272727273,0.31174242424242427,0.2727272727272727,0.4134602161775626,0.8134171907756813
Single___not_married,0.6457273302346049,0.797566371681416,0.4134602161775626,0.20243362831858408,0.4134602161775626,0.8134171907756813
Unknown,1.0,0.0,0.0,0.0,0.4134602161775626,0.8134171907756813
Widow,0.8037688833515029,0.5875331564986738,0.20650988942532317,0.4124668435013263,0.4134602161775626,0.8134171907756813
